
# process,2500
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,1104,640,1432
2,1097,640,1446
3,1085,640,1450
4,1078,640,1455
5,1120,640,1472
6,1098,640,1463
7,1089,640,1439
8,1055,640,1482
9,1102,640,1446
10,1081,640,1449
AVG : ,1090,640,1453
# process,250
# page,7
Page fault occurrence
Round,FIFO,OPT,LRU
1,213,139,218
2,203,139,211
3,209,139,217
4,208,139,212
5,209,139,212
6,201,138,208
7,204,138,212
8,204,138,213
9,205,139,213
10,200,138,208
AVG : ,205,138,212
# process,750
# page,20
Page fault occurrence
Round,FIFO,OPT,LRU
1,261,170,397
2,280,170,383
3,255,170,398
4,261,170,400
5,276,170,401
6,269,170,402
7,286,170,391
8,268,170,401
9,298,170,399
10,288,170,406
AVG : ,274,170,397
# process,3000
# page,80
Page fault occurrence
Round,FIFO,OPT,LRU
1,50,80,80
2,50,80,80
3,50,80,80
4,50,80,80
5,50,80,80
6,50,80,80
7,50,80,80
8,50,80,80
9,50,80,80
10,50,80,80
AVG : ,50,80,80
# process,150
# page,30
Page fault occurrence
Round,FIFO,OPT,LRU
1,117,90,124
2,124,90,131
3,112,90,126
4,121,90,131
5,120,90,128
6,113,90,123
7,120,90,124
8,126,90,133
9,118,90,129
10,109,90,122
AVG : ,118,90,127
