# process,100
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,57,39,60
2,57,38,60
3,60,40,63
4,63,40,62
5,56,39,67
6,60,39,59
7,51,39,59
8,55,42,60
9,57,39,61
10,53,37,52
AVG : ,56,39,60
# process,100
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,59,43,60
2,61,35,59
3,55,43,62
4,60,40,62
5,66,41,72
6,50,37,54
7,62,39,62
8,58,39,61
9,62,38,57
10,57,39,64
AVG : ,59,39,61
# process,100
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,55,39,57
2,47,35,53
3,55,41,62
4,50,39,57
5,49,37,56
6,63,41,62
7,54,42,59
8,61,42,60
9,47,38,49
10,63,41,65
AVG : ,54,39,58
# process,100
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,52,36,51
2,59,42,64
3,60,40,61
4,59,39,62
5,54,36,56
6,50,35,52
7,56,41,61
8,56,41,59
9,52,37,61
10,57,40,59
AVG : ,55,38,58
# process,100
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,55,39,62
2,61,43,61
3,53,39,64
4,54,34,55
5,61,43,61
6,60,38,60
7,63,41,62
8,51,39,54
9,55,36,56
10,50,40,57
AVG : ,56,39,59
# process,250
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,136,71,138
2,136,72,133
3,151,82,154
4,130,74,142
5,139,71,139
6,140,83,144
7,117,67,128
8,133,71,129
9,135,73,128
10,141,76,141
AVG : ,135,74,137
# process,500
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,252,128,255
2,266,138,265
3,252,137,265
4,260,129,276
5,261,140,274
6,264,129,261
7,273,129,268
8,274,138,280
9,269,138,272
10,261,129,260
AVG : ,263,133,267
# process,1000
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,518,254,542
2,525,256,526
3,484,243,491
4,515,261,521
5,536,267,551
6,513,251,507
7,534,247,522
8,529,253,531
9,551,266,544
10,522,246,510
AVG : ,522,254,524
# process,2000
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,1063,500,1054
2,1045,497,1070
3,1064,491,1048
4,1026,487,1011
5,1038,489,1028
6,1079,494,1064
7,1015,487,1033
8,1029,487,1036
9,1055,492,1050
10,1029,491,1044
AVG : ,1044,491,1043
# process,4000
# page,15
Page fault occurrence
Round,FIFO,OPT,LRU
1,2067,953,2037
2,2061,969,2074
3,2045,952,2045
4,2030,930,2029
5,2066,979,2144
6,2099,984,2100
7,2047,945,2045
8,2157,999,2167
9,2074,958,2058
10,2052,951,2051
AVG : ,2069,962,2075
